File,g_observasi,v_maks_terukur,v_maks_teori_ref,v_maks_teori_obs,tinggi_jatuh_m
perlima.csv,8.943,4.728,5.212,4.977,1.385
persepuluh.csv,9.12,4.783,5.335,5.144,1.451
perenam.csv,9.117,5.469,5.254,5.066,1.407
persatu.csv,8.944,4.919,5.412,5.168,1.493
persembilan.csv,9.08,4.777,5.255,5.055,1.407
perempat.csv,9.369,5.553,5.25,5.131,1.405
perdua.csv,9.179,4.912,5.285,5.113,1.424
pertiga.csv,8.964,4.708,5.259,5.027,1.41
perdelapan.csv,8.968,4.954,5.411,5.174,1.492
pertujuh.csv,9.11,4.75,5.239,5.049,1.399
